landuse	x.axis	y.axis	S_Series	Sam_Dist	type	Sam_Depth	Latitude	Longitude	Elevation	gravimetric	bd	Total_N	Total_C 	OM	C_N	Lat	Long	Elev2	Code_x.y	
Grassland	135	120	PenB	30	Grid	(0-15)	40.54255° N	74.65211° W	-6.5347	0.35	1.268	0.174	1.782	3.072	10.241	40.54255° N	74.65211° W	26.882	R3 / A-120	
Grassland	45	180	PenB	30	Grid	(0-15)	40.54302° N	74.65317° W	-3.2184	0.37	1.263	0.122	1.087	1.874	8.910	40.54302° N	74.65317° W	30.2001	Q2 / A-180	
Grassland	45	240	PenB	30	Grid	(0-15)	40.54349° N	74.65317° W	-1.5629	0.23	1.328	0.128	1.234	2.128	9.641	40.54349° N	74.65317° W	31.8554	Q2 / B-240	
Grassland	105	240	PenB	30	Grid	(0-15)	40.54349° N	74.65246° W	-2.3312	0.24	1.428	0.094	0.767	1.322	8.160	40.54349° N	74.65246° W	31.0857	R1 / B-240	
Grassland	255	360	PenB	30	Grid	(0-15)	40.54442° N	74.65069° W	-0.7737	0.20	1.148	0.129	1.080	1.862	8.372	40.54442° N	74.65069° W	32.6391	S4 / B-360	
Grassland	225	420	PenB	30	Grid	(0-15)	40.54489° N	74.65104° W	0.588	0.22	1.154	0.190	2.013	3.471	10.595	40.54489° N	74.65104° W	34.0013	S2 / C-420	
Grassland	375	480	PenB	30	Grid	(0-15)	40.54535° N	74.64926° W	-0.8629	0.30	1.037	0.310	3.251	5.605	10.487	40.54535° N	74.64926° W	32.5466	T6 / C-480	
Grassland	435	480	PenB	30	Grid	(0-15)	40.54535° N	74.64856° W	-0.8481	0.21	1.205	0.209	2.215	3.819	10.598	40.54535° N	74.64856° W	32.56	U3 / C-480	
Grassland	435	540	PenB	30	Grid	(0-15)	40.54582° N	74.64855° W	-2.5225	0.24	1.199	0.154	1.459	2.516	9.006	40.54582° N	74.64855° W	30.8853	U3 / C-540	
Grassland	105	600	PenB	30	Grid	(0-15)	40.54630° N	74.65245° W	-5.8839	0.24	1.228	0.154	1.661	2.864	10.786	40.54630° N	74.65245° W	27.5314	R1 / D-600	
Grassland	135	600	PenB	30	Grid	(0-15)	40.54630° N	74.65209° W	-5.1443	0.20	1.236	0.168	1.651	2.847	9.827	40.54630° N	74.65209° W	28.2702	R3 / D-600	
Grassland	135	660	PenB	30	Grid	(0-15)	40.54677° N	74.65209° W	-5.4352	0.26	1.289	0.163	1.611	2.778	9.883	40.54677° N	74.65209° W	27.9791	R3 / D-660	
Grassland	195	660	PenB	30	Grid	(0-15)	40.54676° N	74.65138° W	-5.2078	0.20	1.442	0.164	1.679	2.895	10.238	40.54676° N	74.65138° W	28.205	R7 / D-660	
Grassland	225	660	PenB	30	Grid	(0-15)	40.54676° N	74.65103° W	-5.3083	0.22	1.458	0.123	1.243	2.143	10.106	40.54676° N	74.65103° W	28.1039	S2 / D-660	
Grassland	285	720	PenB	30	Grid	(0-15)	40.54723° N	74.65032° W	-6.5776	0.22	1.439	0.156	1.555	2.681	9.968	40.54723° N	74.65032° W	26.8329	S6 / D-720	
Grassland	285	780	PenB	30	Grid	(0-15)	40.54770° N	74.65031° W	-6.5973	0.22	1.268	0.156	1.556	2.683	9.974	40.54770° N	74.65031° W	26.8129	S6 / D-780	
